item,price,location,unit,quantity,date,currency,external_id
Eggs,10,tobruk,piece,30,2024-07-15,LYD,wfp-hdx:92:2333:2024-07-15
Eggs,17,tobruk,piece,30,2024-08-15,LYD,wfp-hdx:92:2333:2024-08-15
Eggs,17,tobruk,piece,30,2024-09-15,LYD,wfp-hdx:92:2333:2024-09-15
Eggs,9.5,tobruk,piece,30,2024-10-15,LYD,wfp-hdx:92:2333:2024-10-15
Eggs,11,tobruk,piece,30,2024-11-15,LYD,wfp-hdx:92:2333:2024-11-15
Eggs,15,tobruk,piece,30,2024-12-15,LYD,wfp-hdx:92:2333:2024-12-15
Eggs,13,tobruk,piece,30,2025-01-15,LYD,wfp-hdx:92:2333:2025-01-15
Eggs,17,tobruk,piece,30,2025-02-15,LYD,wfp-hdx:92:2333:2025-02-15
Eggs,9.5,tobruk,piece,30,2025-03-15,LYD,wfp-hdx:92:2333:2025-03-15
Eggs,15,tobruk,piece,30,2025-04-15,LYD,wfp-hdx:92:2333:2025-04-15
Eggs,9,tobruk,piece,30,2025-05-15,LYD,wfp-hdx:92:2333:2025-05-15
Eggs,15,tobruk,piece,30,2025-06-15,LYD,wfp-hdx:92:2333:2025-06-15
Eggs,20,tobruk,piece,30,2025-10-15,LYD,wfp-hdx:92:2333:2025-10-15
Eggs,18,tobruk,piece,30,2025-11-15,LYD,wfp-hdx:92:2333:2025-11-15
Eggs,20,tobruk,piece,30,2025-12-15,LYD,wfp-hdx:92:2333:2025-12-15
Eggs,20,tobruk,piece,30,2026-01-15,LYD,wfp-hdx:92:2333:2026-01-15
Eggs,25,tobruk,piece,30,2026-02-15,LYD,wfp-hdx:92:2333:2026-02-15
Eggs,30,tobruk,piece,30,2026-03-15,LYD,wfp-hdx:92:2333:2026-03-15
Eggs,20,tobruk,piece,30,2026-04-15,LYD,wfp-hdx:92:2333:2026-04-15
Eggs,20,tobruk,piece,30,2026-05-15,LYD,wfp-hdx:92:2333:2026-05-15
Eggs,18.5,tripoli,piece,30,2024-04-15,LYD,wfp-hdx:92:2334:2024-04-15
Eggs,15.25,tripoli,piece,30,2024-05-15,LYD,wfp-hdx:92:2334:2024-05-15
Eggs,18.5,tripoli,piece,30,2024-06-15,LYD,wfp-hdx:92:2334:2024-06-15
Eggs,24.25,tripoli,piece,30,2024-07-15,LYD,wfp-hdx:92:2334:2024-07-15
Eggs,21.25,tripoli,piece,30,2024-08-15,LYD,wfp-hdx:92:2334:2024-08-15
Eggs,25,tripoli,piece,30,2024-09-15,LYD,wfp-hdx:92:2334:2024-09-15
Eggs,25,tripoli,piece,30,2024-10-15,LYD,wfp-hdx:92:2334:2024-10-15
Eggs,20,tripoli,piece,30,2024-11-15,LYD,wfp-hdx:92:2334:2024-11-15
Eggs,22,tripoli,piece,30,2024-12-15,LYD,wfp-hdx:92:2334:2024-12-15
Eggs,21.25,tripoli,piece,30,2025-01-15,LYD,wfp-hdx:92:2334:2025-01-15
Eggs,16,tripoli,piece,30,2025-02-15,LYD,wfp-hdx:92:2334:2025-02-15
Eggs,16.63,tripoli,piece,30,2025-03-15,LYD,wfp-hdx:92:2334:2025-03-15
Eggs,16,tripoli,piece,30,2025-04-15,LYD,wfp-hdx:92:2334:2025-04-15
Eggs,18.63,tripoli,piece,30,2025-05-15,LYD,wfp-hdx:92:2334:2025-05-15
Eggs,20,tripoli,piece,30,2025-06-15,LYD,wfp-hdx:92:2334:2025-06-15
Eggs,26,tripoli,piece,30,2025-10-15,LYD,wfp-hdx:92:2334:2025-10-15
Eggs,23.25,tripoli,piece,30,2025-11-15,LYD,wfp-hdx:92:2334:2025-11-15
Eggs,24.75,tripoli,piece,30,2025-12-15,LYD,wfp-hdx:92:2334:2025-12-15
Eggs,24.75,tripoli,piece,30,2026-01-15,LYD,wfp-hdx:92:2334:2026-01-15
Eggs,21,tripoli,piece,30,2026-02-15,LYD,wfp-hdx:92:2334:2026-02-15
Eggs,19.8,tripoli,piece,30,2026-03-15,LYD,wfp-hdx:92:2334:2026-03-15
Eggs,24.75,tripoli,piece,30,2026-04-15,LYD,wfp-hdx:92:2334:2026-04-15
Eggs,25.5,tripoli,piece,30,2026-05-15,LYD,wfp-hdx:92:2334:2026-05-15
Eggs,20,ubari,piece,30,2024-04-15,LYD,wfp-hdx:92:2337:2024-04-15
Eggs,21,ubari,piece,30,2024-05-15,LYD,wfp-hdx:92:2337:2024-05-15
Eggs,20,ubari,piece,30,2024-06-15,LYD,wfp-hdx:92:2337:2024-06-15
Eggs,18,ubari,piece,30,2024-07-15,LYD,wfp-hdx:92:2337:2024-07-15
Eggs,18,ubari,piece,30,2024-08-15,LYD,wfp-hdx:92:2337:2024-08-15
Eggs,22,ubari,piece,30,2024-09-15,LYD,wfp-hdx:92:2337:2024-09-15
Eggs,24,ubari,piece,30,2024-10-15,LYD,wfp-hdx:92:2337:2024-10-15
Eggs,20.75,ubari,piece,30,2024-11-15,LYD,wfp-hdx:92:2337:2024-11-15
Eggs,23.25,ubari,piece,30,2024-12-15,LYD,wfp-hdx:92:2337:2024-12-15
Eggs,21.5,ubari,piece,30,2025-01-15,LYD,wfp-hdx:92:2337:2025-01-15
Eggs,23,ubari,piece,30,2025-02-15,LYD,wfp-hdx:92:2337:2025-02-15
Eggs,15.5,ubari,piece,30,2025-03-15,LYD,wfp-hdx:92:2337:2025-03-15
Eggs,15,ubari,piece,30,2025-04-15,LYD,wfp-hdx:92:2337:2025-04-15
Eggs,13.5,ubari,piece,30,2025-05-15,LYD,wfp-hdx:92:2337:2025-05-15
Eggs,13.5,ubari,piece,30,2025-06-15,LYD,wfp-hdx:92:2337:2025-06-15
Eggs,19,ubari,piece,30,2025-10-15,LYD,wfp-hdx:92:2337:2025-10-15
Eggs,17.5,ubari,piece,30,2025-11-15,LYD,wfp-hdx:92:2337:2025-11-15
Eggs,19,ubari,piece,30,2025-12-15,LYD,wfp-hdx:92:2337:2025-12-15
Eggs,20.25,ubari,piece,30,2026-01-15,LYD,wfp-hdx:92:2337:2026-01-15
Eggs,25,ubari,piece,30,2026-02-15,LYD,wfp-hdx:92:2337:2026-02-15
Eggs,18.5,ubari,piece,30,2026-03-15,LYD,wfp-hdx:92:2337:2026-03-15
Eggs,20,ubari,piece,30,2026-04-15,LYD,wfp-hdx:92:2337:2026-04-15
Eggs,22,ubari,piece,30,2026-05-15,LYD,wfp-hdx:92:2337:2026-05-15
Eggs,16.5,zawiya,piece,30,2024-04-15,LYD,wfp-hdx:92:2353:2024-04-15
Eggs,16.88,zawiya,piece,30,2024-05-15,LYD,wfp-hdx:92:2353:2024-05-15
Eggs,17.5,zawiya,piece,30,2024-06-15,LYD,wfp-hdx:92:2353:2024-06-15
Eggs,18.75,zawiya,piece,30,2024-07-15,LYD,wfp-hdx:92:2353:2024-07-15
Eggs,18.25,zawiya,piece,30,2024-08-15,LYD,wfp-hdx:92:2353:2024-08-15
Eggs,25.25,zawiya,piece,30,2024-09-15,LYD,wfp-hdx:92:2353:2024-09-15
Eggs,14.5,zawiya,piece,30,2024-10-15,LYD,wfp-hdx:92:2353:2024-10-15
Eggs,17,zawiya,piece,30,2024-11-15,LYD,wfp-hdx:92:2353:2024-11-15
Eggs,21.5,zawiya,piece,30,2025-01-15,LYD,wfp-hdx:92:2353:2025-01-15
Eggs,17.25,zawiya,piece,30,2025-02-15,LYD,wfp-hdx:92:2353:2025-02-15
